id_asset,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname
FR0000120404,PAR,ACCOR,EQUITY,AC.PA,quotes,20053.0,Equity,Accor SA
FR0010340141,PAR,ADP,EQUITY,ADP.PA,quotes,20086.0,Equity,Aeroports de Paris SA
FR0000031122,PAR,AIR FRANCE -KLM,EQUITY,AF.PA,quotes,20146.0,Equity,Air France-KLM SA
FR0000120073,PAR,AIR LIQUIDE,EQUITY,AI.PA,quotes,20169.0,Equity,L'Air Liquide S.A.
NL0000235190,PAR,AIRBUS,EQUITY,AIR.PA,quotes,20256.0,Equity,Airbus SE
FR0004180537,PAR,AKKA TECHNOLOGIES,EQUITY,AKA.PA,quotes,20020.0,Equity,AKKA Technologies SE
FR0010220475,PAR,ALSTOM,EQUITY,ALO.PA,quotes,20075.0,Equity,Alstom SA
FR0000071946,PAR,ALTEN,EQUITY,ATE.PA,quotes,20027.0,Equity,Alten S.A.
FR0000051732,PAR,ATOS,EQUITY,ATO.PA,quotes,20034.0,Equity,Atos SE
FR0000120628,PAR,AXA,EQUITY,CS.PA,quotes,20091.0,Equity,AXA SA
FR0000120966,PAR,BIC,EQUITY,BB.PA,quotes,20035.0,Equity,Société BIC SA
FR0000131104,PAR,BNP PARIBAS ACT.A,EQUITY,BNP.PA,quotes,20184.0,Equity,BNP Paribas SA
FR0000061129,PAR,BOIRON,EQUITY,BOI.PA,quotes,20014.0,Equity,Boiron SA
FR0000063935,PAR,BONDUELLE,EQUITY,BON.PA,quotes,20025.0,Equity,Bonduelle SCA
FR0000120503,PAR,BOUYGUES,EQUITY,EN.PA,quotes,20084.0,Equity,Bouygues SA
FR0000125338,PAR,CAPGEMINI,EQUITY,CAP.PA,quotes,20043.0,Equity,Capgemini SE
FR0000120172,PAR,CARREFOUR,EQUITY,CA.PA,quotes,20077.0,Equity,Carrefour SA
FR0000045072,PAR,CREDIT AGRICOLE,EQUITY,ACA.PA,quotes,20192.0,Equity,CrÃ©dit Agricole S.A.
FR0000120644,PAR,DANONE,EQUITY,BN.PA,quotes,20234.0,Equity,Danone S.A.
FR0000121725,PAR,DASSAULT AVIATION,EQUITY,AM.PA,quotes,20038.0,Equity,Dassault Aviation SA
FR0000130650,PAR,DASSAULT SYSTEMES,EQUITY,DSY.PA,quotes,20072.0,Equity,Dassault SystÃ¨mes SE
FR0010417345,PAR,DBV TECHNOLOGIES,EQUITY,DBV.PA,quotes,20019.0,Equity,DBV Technologies S.A.
FR0010242511,PAR,EDF,EQUITY,EDF.PA,quotes,20064.0,Equity,Electricité de France S.A.
FR0000130452,PAR,EIFFAGE,EQUITY,FGR.PA,quotes,20031.0,Equity,Eiffage SA
FR0011466069,PAR,EKINOPS,EQUITY,EKI.PA,quotes,20008.0,Equity,EKINOPS S.A.
FR0011950732,PAR,ELIOR GROUP,EQUITY,ELIOR.PA,quotes,20011.0,Equity,Elior Group S.A.
FR0010208488,PAR,ENGIE,EQUITY,ENGI.PA,quotes,20074.0,Equity,ENGIE SA
FR0000121667,PAR,ESSILORLUXOTTICA,EQUITY,EL.PA,quotes,20025.0,Equity,EssilorLuxottica Société anonyme
FR0000038259,PAR,EUROFINS SCIENT.,EQUITY,ERF.PA,quotes,20030.0,Equity,Eurofins Scientific SE
NL0006294274,PAR,EURONEXT,EQUITY,ENX.PA,quotes,20021.0,Equity,Euronext N.V.
FR0010490920,PAR,EUROPACORP,EQUITY,ECP.PA,quotes,20001.0,Equity,EuropaCorp
FR0013451333,PAR,FDJ,EQUITY,FDJ.PA,quotes,20089.0,Equity,La Française des Jeux Société anonyme
FR0000062671,PAR,GROUPE GORGE,EQUITY,GOE.PA,quotes,20001.0,Equity,Groupe GorgÃ© SA
FR0000052292,PAR,HERMES INTL,EQUITY,RMS.PA,quotes,20116.0,Equity,Hermès International Société en commandite par actions
FR0000073298,PAR,IPSOS,EQUITY,IPS.PA,quotes,20016.0,Equity,Ipsos SA
FR0000077919,PAR,JC DECAUX SA.,EQUITY,DEC.PA,quotes,20016.0,Equity,JCDecaux SA
FR0000121485,PAR,KERING,EQUITY,KER.PA,quotes,20158.0,Equity,Kering SA
FR0000120321,PAR,L'OREAL,EQUITY,OR.PA,quotes,20301.0,Equity,L'Oréal S.A.
FR0006864484,PAR,LAURENT-PERRIER,EQUITY,LPE.PA,quotes,20001.0,Equity,Laurent-Perrier S.A.
FR0010307819,PAR,LEGRAND,EQUITY,LR.PA,quotes,20033.0,Equity,Legrand SA
FR0000121014,PAR,LVMH,EQUITY,MC.PA,quotes,20203.0,Equity,LVMH Moët Hennessy - Louis Vuitton - Société Européenne
FR0000121261,PAR,MICHELIN,EQUITY,ML.PA,quotes,20055.0,Equity,Compagnie Generale des Etablissements Michelin Societe en commandite par actions
FR0000120685,PAR,NATIXIS,EQUITY,KN.PA,quotes,20102.0,Equity,Natixis S.A.
FR0000133308,PAR,ORANGE,EQUITY,ORA.PA,quotes,20247.0,Equity,Orange S.A.
FR0000120693,PAR,PERNOD RICARD,EQUITY,RI.PA,quotes,20071.0,Equity,Pernod Ricard SA
FR0000121501,PAR,PEUGEOT,EQUITY,UG.PA,quotes,20161.0,Equity,Peugeot S.A.
FR0000131906,PAR,RENAULT,EQUITY,RNO.PA,quotes,20182.0,Equity,Renault SA
FR0000031684,PAR,ROTHSCHILD & CO,EQUITY,ROTH.PA,quotes,20003.0,Equity,Rothschild & Co SCA
FR0000073272,PAR,SAFRAN,EQUITY,SAF.PA,quotes,20091.0,Equity,Safran SA
FR0000120578,PAR,SANOFI,EQUITY,SAN.PA,quotes,20273.0,Equity,Sanofi
FR0000121972,PAR,SCHNEIDER ELECTRIC,EQUITY,SU.PA,quotes,20062.0,Equity,Schneider Electric S.E.
FR0000130809,PAR,SOCIETE GENERALE,EQUITY,GLE.PA,quotes,20186.0,Equity,Société Générale Société anonyme
FR0000121220,PAR,SODEXO,EQUITY,SW.PA,quotes,20051.0,Equity,Sodexo S.A.
NL0000226223,PAR,STMICROELECTRONICS,EQUITY,STM.PA,quotes,20050.0,Equity,STMicroelectronics N.V.
FR0010613471,PAR,SUEZ,EQUITY,SEV.PA,quotes,20024.0,Equity,Suez SA
FR0000032658,PAR,SYNERGIE,EQUITY,SDG.PA,quotes,20001.0,Equity,Synergie SE
FR0000051807,PAR,TELEPERFORMANCE,EQUITY,TEP.PA,quotes,20037.0,Equity,Teleperformance SE
FR0000054900,PAR,TF1,EQUITY,TFI.PA,quotes,20023.0,Equity,Télévision Française 1 Société anonyme
FR0000121329,PAR,THALES,EQUITY,HO.PA,quotes,20091.0,Equity,Thales S.A.
FR0000120271,PAR,TOTAL,EQUITY,FP.PA,quotes,20465.0,Equity,TOTAL SE
FR0000054470,PAR,UBISOFT ENTERTAIN,EQUITY,UBI.PA,quotes,20023.0,Equity,Ubisoft Entertainment SA
FR0013176526,PAR,VALEO,EQUITY,FR.PA,quotes,20023.0,Equity,Valeo SA
FR0000124141,PAR,VEOLIA ENVIRON.,EQUITY,VIE.PA,quotes,20079.0,Equity,Veolia Environnement S.A.
FR0000125486,PAR,VINCI,EQUITY,DG.PA,quotes,20203.0,Equity,VINCI SA
FR0000127771,PAR,VIVENDI,EQUITY,VIV.PA,quotes,20043.0,Equity,Vivendi SA
FR0013357621,PAR,WAVESTONE,EQUITY,WAVE.PA,quotes,20004.0,Equity,Wavestone SA
FR0011981968,PAR,WORLDLINE,EQUITY,WLN.PA,quotes,20071.0,Equity,Worldline S.A.
